Region	Name	Address	County	Postcode	Phone Number	Latitude	Longitude	Grid Ref	OS Map	Year	Email	Web	Notes
Scotland - Highlands	Oban	Esplanade Oban		PA34 5AF	01631 562025	56.420020	-5.480180	NM 855307			oban@syha.org.uk	http://www.syha.org.uk/hostels-in-scotland/highlands/oban.aspx	
Scotland - Highlands	Pitlochry	Knockard Road Pitlochry		PH16 5HJ	01796 472308	56.705880	-3.729320	NN 942585			pitlochry@syha.org.uk	http://www.syha.org.uk/hostels-in-scotland/highlands/pitlochry.aspx	
Scotland - Highlands	Prosen	Glenprosen Kirriemuir		DD8 4SA	01575 540238	56.783070	-3.114720	NO 320663			webite@prosenhostel.co.uk	http://www.syha.org.uk/hostels-in-scotland/highlands/prosen.aspx	
Scotland - Highlands	Ratagan	Glenshiel Kyle		IV40 8HP	01599 511243	57.222597	-5.446377	NG 920199			ratagan@syha.org.uk	http://www.syha.org.uk/hostels-in-scotland/highlands/ratagan.aspx	
Scotland - Highlands	Tomintoul	Main Street Tomintoul		AB37 9EX	01807 580 364	57.249600	-3.376070	NJ 171185			info@thesmugglershostel.co.uk	http://www.syha.org.uk/hostels-in-scotland/highlands/tomintoul.aspx	
Scotland - Highlands	Tongue	Tongue By Lairg		IV27 4XH	01847 611789	58.492494	-4.427164	NC 586586			tongue@syha.org.uk	http://www.syha.org.uk/hostels-in-scotland/highlands/tongue.aspx	
Scotland - Highlands	Torridon	Torridon by Achnasheen		IV22 2EZ	01445 791284	57.544161	-5.504352	NG 904559			torridon@syha.org.uk	http://www.syha.org.uk/hostels-in-scotland/highlands/torridon.aspx	
Scotland - Highlands	Ullapool	Shore Street Ullapool		IV26 2UJ	01854 612 254	57.896180	-5.157770	NH 129940			ullapool@syha.org.uk	http://www.syha.org.uk/hostels-in-scotland/highlands/ullapool.aspx	
Scotland - Islands	Berneray	Isle of Berneray North Uist		HS6 5BQ	0845 293 73 73	57.717334	-7.153800	NF 932814			ghht@gatliff.org.uk	http://www.syha.org.uk/hostels-in-scotland/islands/berneray.aspx	
Scotland - Islands	Birsay	Birsay Outdoor Centre Birsay		KW17 2LY	01856 873535	59.124970	-3.301670	HY 256272			recreation@orkney.gov.uk	http://www.syha.org.uk/hostels-in-scotland/islands/birsay.aspx	
Scotland - Islands	Broadford	Broadford Isle of Skye		IV49 9AA	01471 822442	57.246613	-5.911442	NG 641241			broadford@syha.org.uk	http://www.syha.org.uk/hostels-in-scotland/islands/broadford.aspx	
Scotland - Islands	Brodick	The National Trust for Scotland Brodick Castle		KA27 8HY	0844 4932152	55.593870	-5.150890	NS 016379			brodickcastle@nts.org.uk	http://www.syha.org.uk/hostels-in-scotland/islands/brodick.aspx	
Scotland - Islands	Coll Bunkhouse	An Cridhe Arinagour		PA78 6SY	01879 230 217	56.623290	-6.527070	NM 224571			info@collbunkhouse.co.uk	http://www.syha.org.uk/hostels-in-scotland/islands/coll-bunkhouse.aspx	
Scotland - Islands	Cumbrae	Isle of Cumbrae		KA28 0HQ	01475 530 757	55.773720	-4.907220	NS 177572			cumbraecentre@sportscotland.org.uk	http://www.syha.org.uk/hostels-in-scotland/islands/cumbrae.aspx	
Scotland - Islands	Eday	London Bay Eday		KW17 2AB	0845 293 73 73	59.225030	-2.762180	HY 566379			reservations@syha.org.uk	http://www.syha.org.uk/hostels-in-scotland/islands/eday.aspx	
Scotland - Islands	Eigg	Isle of Eigg by Mallaig		PH42 4RL	1687482417	56.901890	-6.142750	NM 479866			admin@glebebarn.co.uk	http://www.syha.org.uk/hostels-in-scotland/islands/eigg.aspx	
Scotland - Islands	Glenbrittle	Glenbrittle Carbost		IV47 8TA	01478 640278	57.219858	-6.293108	NG 409225			glenbrittle@syha.org.uk	http://www.syha.org.uk/hostels-in-scotland/islands/glenbrittle.aspx	
Scotland - Islands	Howmore	South Uist		HS8 5SH	0845 293 73 73	57.301150	-7.373420	NF 765362			ghht@gatliff.org.uk	http://www.syha.org.uk/hostels-in-scotland/islands/howmore.aspx	
Scotland - Islands	Hoy	Hoy Stromness		KW16 3NJ	01856 873535 ext 2404	58.911970	-3.330400	HY 235035			community.recreation@orkney.gov.uk	http://www.syha.org.uk/hostels-in-scotland/islands/hoy.aspx	
Scotland - Islands	Kershader	Kershader Community Hostel Ravenspoint		HS2 9QA	01851 880236	58.089240	-6.514720	NB 340200			reservations@syha.org.uk	http://www.syha.org.uk/hostels-in-scotland/islands/kershader.aspx	
Scotland - Islands	Kirkwall	Old Scapa Road Kirkwall		KW15 1BB	01856 872 243	58.975990	-2.969230	HY 444103			kirkwall@syha.org.uk	http://www.syha.org.uk/hostels-in-scotland/islands/kirkwall.aspx	
Scotland - Islands	Lerwick	Islesburgh House King Harald Street		ZE1 0EQ	0845 293 73 73	60.152730	-1.149260	HU 473412			reception.islesburgh@shetland.gov.uk	http://www.syha.org.uk/hostels-in-scotland/islands/lerwick.aspx	
Scotland - Islands	Lochranza	Lochranza Isle of Arran		KA27 8HL	01770 830631	55.704770	-5.294780	NR 931506			lochranza@syha.org.uk	http://www.syha.org.uk/hostels-in-scotland/islands/lochranza.aspx	
Scotland - Islands	Papa Westray	Beltane House Papa Westray		KW17 2BU	0845 293 73 73	59.347390	-2.893250	HY 493516			beltanepapay@aol.co.uk	http://www.syha.org.uk/hostels-in-scotland/islands/papa-westray.aspx	
Scotland - Islands	Port Charlotte, Islay	Port Charlotte Isle of Islay		PA48 7TX	01496 850 385	55.740858	-6.377617	NR 253584			islay@syha.org.uk	http://www.syha.org.uk/hostels-in-scotland/islands/port-charlotte,-islay.aspx	
Scotland - Islands	Raasay	Creachan Cottage Raasay		IV40 8NT	01478 660 240	57.348660	-6.063580	NG 556360			raasay@syha.org.uk	http://www.syha.org.uk/hostels-in-scotland/islands/raasay.aspx	
Scotland - Islands	Rackwick	Hoy Stromness		KW16 3NJ	01856 873535, Ext 2404	58.911970	-3.330400	HY 235035			community.recreation@orkney.gov.uk	http://www.syha.org.uk/hostels-in-scotland/islands/rackwick.aspx	
Scotland - Islands	Rhenigidale	Rhenigidale Isle of Harris		HS3 3BD		57.919796	-6.681207	NB 229019			ghht@gatliff.org.uk	http://www.syha.org.uk/hostels-in-scotland/islands/rhenigidale.aspx	
Scotland - Islands	Tobermory	Main Street Tobermory		PA75 6NU	01688 302 481	56.623150	-6.066590	NM 506553			tobermory@syha.org.uk	http://www.syha.org.uk/hostels-in-scotland/islands/tobermory.aspx	
Scotland - Islands	Uig	Uig Isle of Skye		IV51 9YD	01470 542 746	57.581864	-6.357841	NG 396630			uig@syha.org.uk	http://www.syha.org.uk/hostels-in-scotland/islands/uig.aspx	
Scotland - Lowlands	Broadmeadows	Yarrowford Selkirk		TD7 5LZ	01750 76372	55.563572	-2.925942	NT 417304			broadmeadows@syha.org.uk	http://www.syha.org.uk/hostels-in-scotland/lowlands/broadmeadows.aspx	
Scotland - Lowlands	Campbeltown Bunkhouse	Big Kiln Campbeltown		PA28 6JF	01586 551188	55.423600	-5.607550	NR 718203			info@campbeltownbunkhouse.co.uk	http://www.syha.org.uk/hostels-in-scotland/lowlands/campbeltown-bunkhouse.aspx	
Scotland - Lowlands	Comrie Croft	Braincroft Perthshire		PH7 4JZ	0845 293 73 73	56.384040	-3.943140	NN 801230			info@comriecroft.com	http://www.syha.org.uk/hostels-in-scotland/lowlands/comrie-croft.aspx	
Scotland - Lowlands	Edinburgh Central	9 Haddington Place Edinburgh		EH7 4AL	0131 524 2090	55.959960	-3.183090	NT 262747			central@syha.org.uk	http://www.syha.org.uk/hostels-in-scotland/lowlands/edinburgh-central.aspx	
Scotland - Lowlands	Edinburgh Metro	11/2 Robertson's Close Cowgate Edinburgh		EH1 1LY	0131 524 2090	55.948790	-3.185810	NT 260735			edinburgh.metro@syha.org.uk	http://www.syha.org.uk/hostels-in-scotland/lowlands/edinburgh-metro.aspx	
Scotland - Lowlands	Glasgow	8 Park Terrace Glasgow		G3 6BY	0141 332 3004	55.869240	-4.280810	NS 574664			glasgow@syha.org.uk	http://www.syha.org.uk/hostels-in-scotland/lowlands/glasgow.aspx	
Scotland - Lowlands	Inveraray	Dalmally Road Inveraray		PA32 8XD	01499 302454	56.231840	-5.076380	NN 094086			inveraray@syha.org.uk	http://www.syha.org.uk/hostels-in-scotland/lowlands/inveraray.aspx	
Scotland - Lowlands	Inversnaid	Inversnaid Stirling		FK8 3TU	01877 386249	56.249170	-4.668800	NN 347095				http://www.syha.org.uk/hostels-in-scotland/lowlands/inversnaid.aspx	
Scotland - Lowlands	Kirk Yetholm	Friends of Nature House Waukford		TD5 8PG	01573 420 639	55.548220	-2.277360	NT 826283			kirkyetholm@thefriendsofnature.org.uk	http://www.syha.org.uk/hostels-in-scotland/lowlands/kirk-yetholm.aspx	
Scotland - Lowlands	New Lanark	Wee Row Rosedale Street		ML11 9DJ	01555 666710	55.664060	-3.782110	NS 880426			newlanark@syha.org.uk	http://www.syha.org.uk/hostels-in-scotland/lowlands/new-lanark.aspx	
Scotland - Lowlands	Newton Stewart, Minnigaff	Newton Stewart Wigtownshire		DG8 6PL	01671 402 211	54.965203	-4.482466	NX 412662			newtonstewart@syha.org.uk	http://www.syha.org.uk/hostels-in-scotland/lowlands/newton-stewart,-minnigaff.aspx	
Scotland - Lowlands	Perth	Perth College Crieff Road		PH1 2GA	01738 877 800	56.405370	-3.459500	NO 100246			perthresidencemanager@syha.org.uk	http://www.syha.org.uk/hostels-in-scotland/lowlands/perth.aspx	
Scotland - Lowlands	Rowardennan Lodge	By Drymen Glasgow		G63 0AR	01360 870259	56.149410	-4.641410	NS 360983			rowardennan@syha.org.uk	http://www.syha.org.uk/hostels-in-scotland/lowlands/rowardennan-lodge.aspx	
Scotland - Lowlands	St Andrews	Agnes Blackadder Hall North Haugh		KY16 9XW	0845 293 73 73	56.340450	-2.814040	NO 498168			cgsadmin@st-andrews.ac.uk	http://www.syha.org.uk/hostels-in-scotland/lowlands/st-andrews.aspx	
Scotland - Lowlands	Stirling	St. John Street Stirling		FK8 1EA	01786 473442	56.120440	-3.943570	NS 793937			stirling@syha.org.uk	http://www.syha.org.uk/hostels-in-scotland/lowlands/stirling.aspx	
South East	Alfriston	Frog Firle, Seaford Road, Alfriston, Polegate	East Sussex	BN26 5TT	0845 371 9101	50.797274	0.152371	TQ 518 020	199	1953	alfriston@yha.org.uk	http://www.yha.org.uk/hostel/alfriston	
South East	Blackboys Bunkhouse	The Glade, Gun Road, Blackboys, Uckfield	Sussex	TN22 5HU	0845 371 9105	50.972822	0.165058	TQ 521 215	199	1944	blackboys@yha.org.uk	http://www.yha.org.uk/hostel/blackboys-bunkhouse	
South East	Brighstone	Hurst Hill, Totland Bay	Isle of Wight		0845 371 9348	50.643555	-1.395457	SZ 428 828	196		brighstone@yha.org.uk	http://www.yha.org.uk/hostel/brighstone	
South East	Canterbury	54 New Dover Road, Canterbury	Kent	CT1 3DT	0845 371 9010	51.271692	1.091335	TR 157 570	179		canterbury@yha.org.uk	http://www.yha.org.uk/hostel/canterbury	
South East	Cold Blow Camping Barn	Cold Blow Farm, Cold Blow Lane, Thurnham	Kent	ME14 3LR	0800 0191700	51.292200	0.611710	TQ 822 580	188		campingbarns@yha.org.uk	http://www.yha.org.uk/barn/cold-blow-camping-barn	
South East	Eastbourne	1 East Dean Road, Eastbourne	East Sussex	BN20 8ES	0845 371 9316	50.769104	0.250561	TV 588 990	199	2009	eastbourne@yha.org.uk	http://www.yha.org.uk/hostel/eastbourne	
South East	Hindhead	Devil's Punchbowl, off Portsmouth Road, Thursley, Godalming	Surrey	GU8 6NS	0845 371 9022	51.124273	-0.724647	SU 893 369	186	1949	hindhead@yha.org.uk	http://www.yha.org.uk/hostel/hindhead	
South East	Holmbury	Radnor Lane, Dorking	Surrey	RH5 6NW	0845 371 9323	51.194147	-0.420847	TQ 104 451	187	1935	holmbury@yha.org.uk	http://www.yha.org.uk/hostel/holmbury	Harden Moss
South East	Isle of Wight  Cowes UKSA	Arctic Road, Cowes	Isle of Wight	PO31 7PQ	01983 294941	50.757973	-1.292760	SZ 500 956			yhabookings@uksa.org	http://www.yha.org.uk/hostel/uksa-cowes	
South East	Jordans	Welders Lane, Jordans, Beaconsfield	Buckinghamshire	HP9 2SN	0845 371 9523	51.610057	-0.592401	SU 976 911	175	1933	jordans@yha.org.uk	http://www.yha.org.uk/hostel/jordans	
South East	Littlehampton	Littlehampton	West Sussex	BN17 5AW	0845 371 9670	50.808272	-0.545281	TQ 026 020	197	2003	littlehampton@yha.org.uk	http://www.yha.org.uk/hostel/littlehampton	
South East	Margate	3-4 Royal Esplanade, Westbrook Bay, Margate	Kent	CT9 5DL	01843 221616	51.385120	1.364169	TR 342 705	179	1998	margate@yha.org.uk	http://www.yha.org.uk/hostel/margate	
South East	Medway	351 Capstone Road, Gillingham	Kent	ME7 3JE	0845 371 9649	51.357857	0.558034	TQ 782 652	178		medway@yha.org.uk	http://www.yha.org.uk/hostel/medway	
South East	Milton Keynes	Vicarage Road, Bradwell Village, Milton Keynes	Buckinghamshire	MK13 9AG	0845 371 9307	52.047950	-0.789000	SP 831 395	152	1982	miltonkeynes@yha.org.uk	http://www.yha.org.uk/hostel/milton-keynes	
South East	New Forest	Cott Lane, Burley Ringwood	Hampshire	BH24 4BB	0845 371 9309	50.824380	-1.687614	SU 220 028	195		burley@yha.org.uk	http://www.yha.org.uk/hostel/new-forest	
South East	Oxford	2a Botley Road, Oxford	Oxfordshire	OX2 0AB	0845 371 9131	51.752897	-1.266399	SP 507 063	164	2001	oxford@yha.org.uk	http://www.yha.org.uk/hostel/oxford	
South East	Puttenham Camping Barn	The Street, Puttenham, Nr Guildford	Surrey	GU3 1AR	0800 0191 700	51.222670	-0.665960	SU 933 479	145		campingbarns@yha.org.uk	http://www.yha.org.uk/barn/puttenham-camping-barn	
South East	South Downs	Itford Farm, Beddingham, Lewes	East Sussex	BN8 6JS		50.831591	0.034021	TQ 433 055	198		southdowns@yha.org.uk	http://www.yha.org.uk/hostel/south-downs	
South East	Streatley	Reading Road, Streatley	Berkshire	RG8 9JJ	0845 371 9044	51.521815	-1.148734	SU 592 807	174	1937	streatley@yha.org.uk	http://www.yha.org.uk/hostel/streatley	
South East	Tanners Hatch	Ranmore Common Road, Dorking	Surrey	RH5 6BE	0845 371 9542	51.252025	-0.367452	TQ 140 516	187	1945	tanners@yha.org.uk	http://www.yha.org.uk/hostel/tanners-hatch	
South East	Telscombe	Bank Cottages, Telscombe, Lewes	East Sussex	BN7 3HZ	0845 371 9663	50.812445	-0.006569	TQ 405 033	198	1979	telscombe@yha.org.uk	http://www.yha.org.uk/hostel/telscombe	
South East	Totland	Hurst Hill, Totland Bay	Isle of Wight	PO39 0HD	01983 752 165	50.677089	-1.541704	SZ 325 865	196	1975	totland@yha.org.uk	http://www.yha.org.uk/hostel/totland	
South East	Truleigh Hill	Tottington Barn, Shoreham-by-Sea	West Sussex	BN43 5FB	0845 371 9047	50.882035	-0.262730	TQ 223 106	198	1968	truleigh@yha.org.uk	http://www.yha.org.uk/hostel/truleigh-hill	
South West	Bath	Bathwick Hill, Bath	Somerset	BA2 6JZ	0845 3719303	51.379157	-2.340667	ST 764 645	172	1954	bath@yha.org.uk	http://www.yha.org.uk/hostel/bath	
South West	Beer	Bovey Combe, Beer, Seaton	Devon	EX12 3LL	0845 371 9502	50.701500	-3.101095	SY 223 897	192	1962	beer@yha.org.uk	http://www.yha.org.uk/hostel/beer	
South West	Boscastle	Palace Stables, Boscastle	Cornwall	PL35 0HD	0845 371 9006	50.690740	-4.695582	SX 097 914	190	1962	boscastle@yha.org.uk	http://www.yha.org.uk/hostel/boscastle	
South West	Boswinger	Boswinger, Gorran, St Austell	Cornwall	PL26 6LL	0845 371 9107	50.235406	-4.818937	SW 991 411	105	1933	boswinger@yha.org.uk	http://www.yha.org.uk/hostel/boswinger	
South West	Bristol	14 Narrow Quay, Bristol	Bristol	BS1 4QA	0845 371 9726	51.449822	-2.597445	ST 586 725	172	1988	bristol@yha.org.uk	http://www.yha.org.uk/hostel/bristol	
South West	Cheddar	Hillfield, Cheddar	Somerset	BS27 3HN	0845 371 9730	51.277688	-2.781934	ST 456 535	182	1953	cheddar@yha.org.uk	http://www.yha.org.uk/hostel/cheddar	
South West	Cholderton	Beacon House, Amesbury Road, Cholderton	Wiltshire	SP4 0EW	01980 629438	51.180234	-1.701599	SU 210 424	184	2005	choldertonstonehenge@yha.org.uk	http://www.yha.org.uk/hostel/cholderton	
South West	Coverack	Parc Behan, School Hill, Coverack, Helston	Cornwall	TR12 6SA	0845 371 9014	50.021776	-5.096964	SW 783 181	204	1976	coverack@yha.org.uk	http://www.yha.org.uk/hostel/coverack	
South West	Dartmoor	Bellever, Postbridge	Devon	PL20 6TU	0845 371 9622	50.580648	-3.901563	SX 655 774	191	1934	dartmoor@yha.org.uk	http://www.yha.org.uk/hostel/dartmoor	
South West	Elmscott Bunkhouse	Hartland, Bideford	Devon	EX39 6ES	0845 3719736	50.967488	-4.520579	SS 231 217	190	1949	elmscott@yha.org.uk	http://www.yha.org.uk/hostel/elmscott-bunkhouse	
South West	Exford	Exe Mead, Exford, Minehead	Somerset	TA24 7PU	0845 371 9634	51.132639	-3.640911	SS 853 383	181	1965	exford@yha.org.uk	http://www.yha.org.uk/hostel/exford	
South West	Golant	Penquite House, Golant, Fowey	Cornwall	PL23 1LA	0845 371 9019	50.370564	-4.647682	SX 118 556	200	1970	golant@yha.org.uk	http://www.yha.org.uk/hostel/golant	
South West	Great Hound Tor Camping Barn	Great Hound Tor, Manaton, Newton Abbot	Devon	TQ13 9UW	0800 0191 700	50.602110	-3.769104	SX 749 795	191		campingbarns@yha.org.uk	http://www.yha.org.uk/barn/great-hound-tor-camping-barn	
South West	Jersey - Durrell Wildlife Hostel	Les Noyers Residence, La Profonde Rue, Trinity	Jersey	JE3 5BP	1534860025	49.229571	-2.075129	XD 946 254		1963	hostelbookings@durrell.org	http://www.yha.org.uk/hostel/jersey-durrell-wildlife-hostel	
South West	Lands End	Letcha Vean, St Just-in-Penwith, Penzance	Cornwall	TR19 7NT	0845 371 9643	50.115914	-5.688407	SW 364 305	203	1939	landsend@yha.org.uk	http://www.yha.org.uk/hostel/lands-end	
South West	Litton Cheney	Litton Cheney, Dorchester	Dorset	DT2 9AT	0845 371 9329	50.707703	-2.640401	SY 549 900	194	1937	littoncheney@yha.org.uk	http://www.yha.org.uk/hostel/litton-cheney	
South West	Lizard Point	The Polbrean, Lizard Point	Cornwall	TR12 7NT	0845 371 9550	49.960124	-5.203534	SW 703 116	204	2003	lizard@yha.org.uk	http://www.yha.org.uk/hostel/lizard-point	
South West	Lulworth Cove	School Lane, West Lulworth, Wareham	Dorset	BH20 5SA	0845 371 9331	50.625090	-2.240025	SY 831 806	194	1983	lulworth@yha.org.uk	http://www.yha.org.uk/hostel/lulworth-cove	
South West	Lydford Camping Barn	Fox and Hounds Hotel, Bridestowe, Okehampton	Devon	EX20 4HF	0800 0191 700	50.661060	-4.087710	SX 525 867	191		campingbarns@yha.org.uk	http://www.yha.org.uk/barn/lydford-camping-barn	
South West	Minehead	Alcombe Combe, Minehead	Somerset	TA24 6EW	0845 371 9033	51.187860	-3.470875	SS 973 442	181	1959	minehead@yha.org.uk	http://www.yha.org.uk/hostel/minehead	
South West	Mullacott Camping Barn	Mullacott farm, Mullacott Cross, Ilfracombe	Devon	EX34 8NA	0800 0191 700	51.187190	-4.128810	SS 513 453	180		campingbarns@yha.org.uk	http://www.yha.org.uk/barn/mullacott-camping-barn	
South West	Northcombe Camping Barns	Northcombe Farm, Hollam, Dulverton	Somerset	TA22 9SH	0800 0191 700	51.051646	-3.545780	SS 918 292	181		campingbarns@yha.org.uk	http://www.yha.org.uk/barn/northcombe-camping-barns	
South West	Okehampton	Klondyke road, Okehampton	Devon	EX20 1EW	01837 53916	50.732191	-3.996212	SX 592 944	191	1997	okehampton@yha.org.uk	http://www.yha.org.uk/hostel/okehampton	
South West	Okehampton Bracken Tor	Bracken Tor, Saxongate, Okehampton	Devon	EX20 1QW	0844 293 0555	50.727270	-4.001400	SX 588 939	191		brackentor@yha.org.uk	http://www.yha.org.uk/hostel/okehampton-bracken-tor	
South West	Penzance	Castle Horneck, Penzance	Cornwall	TR20 8TF	0845 371 9653	50.117926	-5.557929	SW 458 303	203	1950	penzance@yha.org.uk	http://www.yha.org.uk/hostel/penzance	
South West	Perranporth	Droskyn Point, Perranporth	Cornwall	TR6 0GS	0845 371 9755	50.346100	-5.161710	SW 752 544	204	1982	perranporth@yha.org.uk	http://www.yha.org.uk/hostel/perranporth	
South West	Pinkery Bunkhouse	Pinkery Centre, Simonsbath, Minehead	Somerset	TA24 7LL	01643 831437	51.155158	-3.827394	SS 723 411	180		pinkery@yha.org.uk	http://www.yha.org.uk/hostel/pinkery-bunkhouse	
South West	Plymouth University	Plymouth University, Gibbon Street, Plymouth	Devon	PL4 8BT	01752 588 599	50.374115	-4.135794	SX 482 549	201		summeraccommodation@plymouth.ac.uk	http://www.yha.org.uk/hostel/plymouth-university	
South West	Portland	Hardy House, Castle Road, Castle Town	Dorset	DT5 1AU	0845 371 9339	50.563974	-2.446242	SY 685 739	194	2001	portland@yha.org.uk	http://www.yha.org.uk/hostel/portland	
South West	Portreath Bunkhouse	Nance Farm, Illogan, Redruth	Cornwall	TR16 4QX	01209 842244	50.252762	-5.270809	SW 669 443	203	2007	portreath@yha.org.uk	http://www.yha.org.uk/hostel/portreath-bunkhouse	
South West	Runnage Camping Barn	Runnage Farm, Postbridge, Yelverton	Devon	PL20 6TN	0800 0191 700	50.596970	-3.883520	SX 668 792	191		campingbarns@yha.org.uk	http://www.yha.org.uk/barn/runnage-camping-barn	
South West	Salcombe	Sharpitor, Salcombe	Devon	TQ8 8LW	0845 371 9341	50.223036	-3.783951	SX 728 374	202	1938	salcombe@yha.org.uk	http://www.yha.org.uk/hostel/salcombe	
South West	Salisbury	Milford Hill, Salisbury	Wiltshire	SP1 2QW	0845 371 9537	51.069101	-1.787714	SU 150 300	184	1961	salisbury@yha.org.uk	http://www.yha.org.uk/hostel/salisbury	
South West	Slimbridge	The Wild Goose Lodge, Shepherds Patch, Slimbridge	Gloucestershire	GL2 7BP	01453 890 275	51.735853	-2.395277	SO 728 042	162		slimbridge@yha.org.uk	http://www.yha.org.uk/hostel/slimbridge	
South West	St Briavel's Castle	St Briavels, Lydney	Gloucestershire	GL15 6RG	0845 371 9042	51.738112	-2.640796	SO 558 046	162	1949	stbriavels@yha.org.uk	http://www.yha.org.uk/hostel/st-briavels	
South West	Stow on the Wold	The Square, Stow-on-the-Wold	Gloucestershire	GL54 1AF	0845 371 9540	51.930670	-1.722665	SP 192 258	163	1935	stow@yha.org.uk	http://www.yha.org.uk/hostel/stow-wold	
South West	Street	The Chalet, Ivythorn Hill, Street	Somerset	BA16 0TZ	0845 371 9143	51.107921	-2.743768	ST 480 346	182	1931	street@yha.org.uk	http://www.yha.org.uk/hostel/street	
South West	Swanage	Cluny, Cluny Crescent, Swanage	Dorset	BH19 2BS	0845 371 9346	50.606150	-1.957830	SZ 031 785	195	1950	swanage@yha.org.uk	http://www.yha.org.uk/hostel/swanage	
South West	Tintagel	Dunderhole Point, Tintagel	Cornwall	PL34 0DW	0845 371 9145	50.659850	-4.764200	SX 047 881	200	1947	tintagel@yha.org.uk	http://www.yha.org.uk/hostel/tintagel	
South West	Treyarnon	Tregonnan, Treyarnon, Padstow	Cornwall	PL28 8JR	0845 371 9664	50.527642	-5.022908	SW 858 741	200	1948	treyarnon@yha.org.uk	http://www.yha.org.uk/hostel/treyarnon	
South West	Westward Ho	1 Manorville, Fosketh Hill, Westward Ho!, Bideford	Devon	EX39 1UL	01237 479766	51.038784	-4.239671	SS 431 290	180	2009	westwardho@yha.org.uk	http://www.yha.org.uk/hostel/westward-ho	
Wales	Anglesey	Porthdafarch Road, Holyhead	Anglesey	LL65 2LP	01407 769351	53.291967	-4.650924	SH 234 805	114	2007	angleseyoutdoors@yha.org.uk	http://www.yha.org.uk/hostel/anglesey	
Wales	Betws-y-Coed	Swallow Falls, Betws-y-Coed	Gwynedd	LL24 0DW	01690 710796	53.101990	-3.845089	SH 766 577	115	2003	betwsycoed@yha.org.uk	http://www.yha.org.uk/hostel/betws-y-coed	
Wales	Borth	Morlais, Borth	Ceredigion	SY24 5JS	0845 371 9724	52.496522	-4.051683	SN 608 907	135	1953	borth@yha.org.uk	http://www.yha.org.uk/hostel/borth	
Wales	Brecon	Groesffordd, Brecon	Powys	LD3 7SW	0845 371 9506	51.950526	-3.350090	SO 073 289	160		brecon@yha.org.uk	http://www.yha.org.uk/hostel/brecon	
Wales	Broad Haven	Broad Haven, Haverfordwest	Pembrokeshire	SA62 3JH	0845 371 9008	51.784466	-5.099968	SM 863 141	157	1981	broadhaven@yha.org.uk	http://www.yha.org.uk/hostel/broad-haven	
Wales	Bryn Gwynant	Nantgwynant, Caernarfon	Gwynedd	LL55 4NP	0845 371 9108	53.042442	-4.028061	SH 641 514	17	1959	bryngwynant@yha.org.uk	http://www.yha.org.uk/hostel/bryn-gwynant	
Wales	Cardiff	2 Wedal Road, Roath Park, Cardiff	South Glamorgan	CF14 3QX	0845 371 9311	51.502993	-3.176452	ST 184 789	171	1986	cardiff@yha.org.uk	http://www.yha.org.uk/hostel/cardiff	
Wales	Conwy	Larkhill, Sychnant Pass Road	Conwy	LL32 8AJ	0845 371 9732	53.278562	-3.838888	SH 775 773	115	1997	conwy@yha.org.uk	http://www.yha.org.uk/hostel/conwy	
Wales	Danywenallt National Park Study Centre	Talybont-on-Usk, Brecon	Powys	LD3 7YS	0845 371 9548	51.876570	-3.297848	SO 108 206	161	2005	danywenallt@yha.org.uk	http://www.yha.org.uk/hostel/danywenallt-national-park-study-centre	
Wales	Dolgoch Bunkhouse	Dolgoch, Tregaron	Ceredigion	SY25 6NR	0845 371 9631	52.191029	-3.747679	SN 806 562	147	1976	dolgoch@yha.org.uk	http://www.yha.org.uk/hostel/dolgoch-bunkhouse	
Wales	Gower Bunkhouse	Borfa House Activity Centre, Port Eynon, Swansea	West Glamorgan	SA3 1NN	01792 401548	51.546104	-4.210468	SS 468 853	159	2007	gower@yha.org.uk	http://www.yha.org.uk/hostel/gower-bunkhouse	
Wales	Idwal	Nant Ffrancon, Bethesda, Bangor	Gwynedd	LL57 3LZ	0845 371 9744	53.123287	-4.020508	SH 649 604	115	1931	idwal@yha.org.uk	http://www.yha.org.uk/hostel/idwal	
Wales	Kings	Kings, Penmaenpool, Dolgellau	Gwynedd	LL40 1TB	0845 371 9327	52.725661	-3.950776	SH 684 160	124	1937	kings@yha.org.uk	http://www.yha.org.uk/hostel/kings	
Wales	Llanberis	Llwyn Celyn, Llanberis, Caernarfon	Gwynedd	LL55 4SR	0845 371 9645	53.115312	-4.132104	SH 574 597	115	1940	llanberis@yha.org.uk	http://www.yha.org.uk/hostel/llanberis	
Wales	Llanddeusant	The Old Red Lion, Llanddeusant	Camarthenshire	SA19 9UL	0845 371 9750	51.905790	-3.778570	SN 777 245	160	1940	llanddeusant@yha.org.uk	http://www.yha.org.uk/hostel/llanddeusant	
Wales	Llangattock Mountain Bunkhouse	Wern Watkin, Hillside, Llangattock, Crickhowell	Powys	NP8 1LG	01873 812307	51.831097	-3.140727	SO 215 153	161	2007	llangattock@yha.org.uk	http://www.yha.org.uk/hostel/llangattock-mountain-bunkhouse	
Wales	Llwyn-y-Celyn	Libanus, Brecon	Powys	LD3 8NH	0845 371 9029	51.891676	-3.493255	SN 973 225	160	1972	llwynycelyn@yha.org.uk	http://www.yha.org.uk/hostel/llwyn-y-celyn	
